date,index
2020-03-16,100.0
2020-03-17,64.0
2020-03-18,59.0
2020-03-19,50.0
2020-03-20,52.0
2020-03-21,33.0
2020-03-22,44.0
2020-03-23,36.0
2020-03-24,48.0
2020-03-25,44.0
2020-03-26,23.0
2020-03-27,39.0
2020-03-28,26.0
2020-03-29,26.0
2020-03-30,31.0
2020-03-31,26.0
2020-04-01,24.0
2020-04-02,25.0
2020-04-03,19.0
2020-04-04,22.0
2020-04-05,19.0
2020-04-06,22.0
2020-04-07,24.0
2020-04-08,20.0
2020-04-09,17.0
2020-04-10,0.0
2020-04-11,17.0
2020-04-12,18.0
2020-04-13,25.0
2020-04-14,26.0
2020-04-15,30.0
2020-04-16,34.0
2020-04-17,52.0
2020-04-18,55.0
2020-04-19,33.0
2020-04-20,50.0
2020-04-21,65.0
2020-04-22,55.0
2020-04-23,49.0
2020-04-24,45.0
2020-04-25,49.0
2020-04-26,0.0
2020-04-27,78.0
2020-04-28,60.0
2020-04-29,68.0
2020-04-30,100.0
2020-05-01,55.0
2020-05-02,74.0
2020-05-03,58.0
2020-05-04,62.0
2020-05-05,56.0
2020-05-06,84.0
2020-05-07,89.0
2020-05-08,100.0
2020-05-09,61.0
2020-05-10,59.0
2020-05-11,68.0
2020-05-12,70.0
2020-05-13,70.0
2020-05-14,94.0
2020-05-15,77.0
2020-05-16,88.0
2020-05-17,93.0
2020-05-18,100.0
2020-05-19,77.0
2020-05-20,94.0
2020-05-21,61.0
2020-05-22,58.0
2020-05-23,64.0
2020-05-24,39.0
2020-05-25,44.0
2020-05-26,64.0
2020-05-27,64.0
2020-05-28,71.0
2020-05-29,44.0
2020-05-30,46.0
2020-05-31,61.0
2020-06-01,86.0
2020-06-02,57.0
2020-06-03,64.0
2020-06-04,66.0
2020-06-05,54.0
2020-06-06,50.0
2020-06-07,44.0
2020-06-08,45.0
2020-06-09,50.0
2020-06-10,47.0
2020-06-11,48.0
2020-06-12,32.0
2020-06-13,26.0
2020-06-14,44.0
2020-06-15,52.0
2020-06-16,44.0
2020-06-17,47.0
2020-06-18,29.0
2020-06-19,47.0
2020-06-20,52.0
2020-06-21,0.0
2020-06-22,50.0
2020-06-23,37.0
2020-06-24,50.0
2020-06-25,29.0
2020-06-26,51.0
2020-06-27,36.0
2020-06-28,0.0
2020-06-29,58.0
