date,index
2020-03-16,91.0
2020-03-17,76.0
2020-03-18,72.0
2020-03-19,76.0
2020-03-20,92.0
2020-03-21,88.0
2020-03-22,47.0
2020-03-23,88.0
2020-03-24,74.0
2020-03-25,87.0
2020-03-26,100.0
2020-03-27,74.0
2020-03-28,86.0
2020-03-29,46.0
2020-03-30,44.0
2020-03-31,44.0
2020-04-01,49.0
2020-04-02,83.0
2020-04-03,30.0
2020-04-04,46.0
2020-04-05,0.0
2020-04-06,38.0
2020-04-07,0.0
2020-04-08,48.0
2020-04-09,56.0
2020-04-10,0.0
2020-04-11,54.0
2020-04-12,42.0
2020-04-13,57.0
2020-04-14,43.0
2020-04-15,38.0
2020-04-16,31.0
2020-04-17,41.0
2020-04-18,31.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,48.0
2020-04-28,71.0
2020-04-29,65.0
2020-04-30,34.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,51.0
2020-05-05,0.0
2020-05-06,69.0
2020-05-07,50.0
2020-05-08,51.0
2020-05-09,52.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,97.0
2020-05-19,80.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,57.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,82.0
2020-06-02,93.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,80.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,63.0
2020-06-11,84.0
2020-06-12,100.0
2020-06-13,79.0
2020-06-14,100.0
2020-06-15,65.0
2020-06-16,50.0
2020-06-17,100.0
2020-06-18,76.0
2020-06-19,100.0
2020-06-20,0.0
2020-06-21,87.0
2020-06-22,51.0
2020-06-23,0.0
2020-06-24,65.0
2020-06-25,0.0
2020-06-26,63.0
2020-06-27,77.0
2020-06-28,100.0
2020-06-29,59.0
2020-06-30,44.0
2020-07-01,59.0
2020-07-02,42.0
2020-07-03,57.0
2020-07-04,70.0
2020-07-05,41.0
2020-07-06,83.0
2020-07-07,43.0
2020-07-08,80.0
2020-07-09,55.0
2020-07-10,50.0
2020-07-11,72.0
2020-07-12,86.0
2020-07-13,48.0
2020-07-14,56.0
2020-07-15,46.0
2020-07-16,45.0
2020-07-17,55.0
2020-07-18,66.0
2020-07-19,50.0
2020-07-20,54.0
2020-07-21,49.0
2020-07-22,51.0
2020-07-23,36.0
2020-07-24,50.0
2020-07-25,0.0
2020-07-26,61.0
2020-07-27,46.0
2020-07-28,47.0
2020-07-29,90.0
2020-07-30,0.0
2020-07-31,55.0
2020-08-01,95.0
2020-08-02,60.0
2020-08-03,49.0
2020-08-04,64.0
2020-08-05,75.0
2020-08-06,50.0
2020-08-07,51.0
2020-08-08,44.0
2020-08-09,52.0
2020-08-10,73.0
2020-08-11,0.0
2020-08-12,40.0
2020-08-13,40.0
2020-08-14,44.0
2020-08-15,0.0
2020-08-16,69.0
2020-08-17,0.0
2020-08-18,0.0
