date,index
2020-03-16,100.0
2020-03-17,97.0
2020-03-18,79.0
2020-03-19,64.0
2020-03-20,67.0
2020-03-21,36.0
2020-03-22,41.0
2020-03-23,54.0
2020-03-24,51.0
2020-03-25,60.0
2020-03-26,50.0
2020-03-27,55.0
2020-03-28,23.0
2020-03-29,30.0
2020-03-30,38.0
2020-03-31,52.0
2020-04-01,48.0
2020-04-02,39.0
2020-04-03,40.0
2020-04-04,24.0
2020-04-05,25.0
2020-04-06,39.0
2020-04-07,43.0
2020-04-08,46.0
2020-04-09,26.0
2020-04-10,20.0
2020-04-11,16.0
2020-04-12,16.0
2020-04-13,52.0
2020-04-14,34.0
2020-04-15,36.0
2020-04-16,47.0
2020-04-17,50.0
2020-04-18,45.0
2020-04-19,30.0
2020-04-20,69.0
2020-04-21,75.0
2020-04-22,65.0
2020-04-23,61.0
2020-04-24,62.0
2020-04-25,53.0
2020-04-26,47.0
2020-04-27,76.0
2020-04-28,81.0
2020-04-29,88.0
2020-04-30,68.0
2020-05-01,58.0
2020-05-02,65.0
2020-05-03,49.0
2020-05-04,68.0
2020-05-05,89.0
2020-05-06,54.0
2020-05-07,64.0
2020-05-08,60.0
2020-05-09,62.0
2020-05-10,55.0
2020-05-11,73.0
2020-05-12,72.0
2020-05-13,78.0
2020-05-14,81.0
2020-05-15,87.0
2020-05-16,80.0
2020-05-17,60.0
2020-05-18,100.0
2020-05-19,94.0
2020-05-20,85.0
2020-05-21,73.0
2020-05-22,97.0
2020-05-23,80.0
2020-05-24,58.0
2020-05-25,82.0
2020-05-26,89.0
2020-05-27,93.0
2020-05-28,94.0
2020-05-29,77.0
2020-05-30,80.0
2020-05-31,78.0
2020-06-01,100.0
2020-06-02,86.0
2020-06-03,91.0
2020-06-04,85.0
2020-06-05,83.0
2020-06-06,63.0
2020-06-07,36.0
2020-06-08,60.0
2020-06-09,55.0
2020-06-10,65.0
2020-06-11,63.0
2020-06-12,61.0
2020-06-13,48.0
2020-06-14,55.0
2020-06-15,40.0
2020-06-16,57.0
2020-06-17,61.0
2020-06-18,67.0
2020-06-19,68.0
2020-06-20,49.0
2020-06-21,49.0
2020-06-22,72.0
2020-06-23,67.0
2020-06-24,86.0
2020-06-25,100.0
2020-06-26,71.0
2020-06-27,52.0
2020-06-28,59.0
2020-06-29,71.0
2020-06-30,69.0
2020-07-01,63.0
2020-07-02,59.0
2020-07-03,70.0
2020-07-04,54.0
2020-07-05,51.0
2020-07-06,69.0
2020-07-07,88.0
2020-07-08,56.0
2020-07-09,67.0
2020-07-10,36.0
2020-07-11,50.0
2020-07-12,44.0
2020-07-13,80.0
2020-07-14,57.0
2020-07-15,76.0
2020-07-16,58.0
2020-07-17,55.0
2020-07-18,49.0
2020-07-19,37.0
2020-07-20,63.0
2020-07-21,61.0
2020-07-22,56.0
2020-07-23,89.0
2020-07-24,65.0
2020-07-25,54.0
2020-07-26,79.0
2020-07-27,72.0
2020-07-28,81.0
2020-07-29,72.0
2020-07-30,86.0
2020-07-31,52.0
2020-08-01,60.0
2020-08-02,63.0
2020-08-03,98.0
2020-08-04,85.0
2020-08-05,72.0
2020-08-06,74.0
2020-08-07,72.0
2020-08-08,66.0
2020-08-09,50.0
2020-08-10,68.0
2020-08-11,59.0
2020-08-12,62.0
2020-08-13,65.0
2020-08-14,67.0
2020-08-15,37.0
2020-08-16,52.0
2020-08-17,72.0
2020-08-18,52.0
2020-08-19,68.0
2020-08-20,47.0
2020-08-21,51.0
2020-08-22,48.0
2020-08-23,35.0
2020-08-24,56.0
2020-08-25,67.0
2020-08-26,47.0
2020-08-27,87.0
2020-08-28,39.0
2020-08-29,52.0
2020-08-30,49.0
2020-08-31,57.0
2020-09-01,57.0
2020-09-02,75.0
2020-09-03,77.0
2020-09-04,70.0
2020-09-05,54.0
2020-09-06,41.0
2020-09-07,69.0
2020-09-08,72.0
2020-09-09,67.0
2020-09-10,68.0
2020-09-11,58.0
2020-09-12,57.0
2020-09-13,52.0
2020-09-14,78.0
2020-09-15,71.0
2020-09-16,57.0
2020-09-17,45.0
2020-09-18,55.0
2020-09-19,50.0
2020-09-20,77.0
2020-09-21,73.0
2020-09-22,68.0
2020-09-23,65.0
2020-09-24,66.0
2020-09-25,55.0
2020-09-26,42.0
2020-09-27,49.0
2020-09-28,64.0
2020-09-29,85.0
2020-09-30,73.0
2020-10-01,70.0
2020-10-02,51.0
2020-10-03,50.0
2020-10-04,49.0
2020-10-05,85.0
2020-10-06,43.0
2020-10-07,62.0
2020-10-08,62.0
2020-10-09,56.0
2020-10-10,50.0
2020-10-11,59.0
2020-10-12,83.0
2020-10-13,56.0
2020-10-14,76.0
2020-10-15,75.0
2020-10-16,82.0
2020-10-17,44.0
2020-10-18,68.0
2020-10-19,55.0
2020-10-20,52.0
2020-10-21,63.0
2020-10-22,66.0
2020-10-23,75.0
2020-10-24,42.0
2020-10-25,64.0
2020-10-26,71.0
2020-10-27,77.0
2020-10-28,93.0
2020-10-29,50.0
2020-10-30,44.0
2020-10-31,0.0
2020-11-01,68.0
2020-11-02,58.0
2020-11-03,68.0
2020-11-04,74.0
2020-11-05,69.0
2020-11-06,54.0
2020-11-07,43.0
2020-11-08,0.0
2020-11-09,73.0
2020-11-10,79.0
2020-11-11,80.0
2020-11-12,0.0
2020-11-13,67.0
2020-11-14,0.0
2020-11-15,61.0
2020-11-16,73.0
2020-11-17,85.0
2020-11-18,77.0
2020-11-19,55.0
2020-11-20,87.0
2020-11-21,76.0
2020-11-22,82.0
2020-11-23,61.0
2020-11-24,60.0
2020-11-25,76.0
2020-11-26,77.0
2020-11-27,77.0
2020-11-28,56.0
2020-11-29,0.0
2020-11-30,59.0
2020-12-01,89.0
2020-12-02,75.0
2020-12-03,68.0
2020-12-04,65.0
2020-12-05,84.0
2020-12-06,75.0
2020-12-07,96.0
2020-12-08,76.0
2020-12-09,100.0
2020-12-10,61.0
2020-12-11,54.0
2020-12-12,72.0
2020-12-13,53.0
2020-12-14,62.0
2020-12-15,46.0
2020-12-16,54.0
2020-12-17,41.0
2020-12-18,97.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,60.0
2020-12-22,72.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,73.0
2020-12-28,61.0
2020-12-29,63.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,81.0
2021-01-03,87.0
2021-01-04,100.0
2021-01-05,95.0
2021-01-06,93.0
2021-01-07,73.0
2021-01-08,97.0
2021-01-09,64.0
2021-01-10,100.0
2021-01-11,69.0
2021-01-12,86.0
2021-01-13,89.0
2021-01-14,84.0
2021-01-15,56.0
2021-01-16,0.0
2021-01-17,76.0
2021-01-18,93.0
2021-01-19,75.0
2021-01-20,83.0
2021-01-21,53.0
2021-01-22,100.0
2021-01-23,55.0
2021-01-24,100.0
2021-01-25,77.0
2021-01-26,70.0
2021-01-27,80.0
2021-01-28,56.0
2021-01-29,51.0
2021-01-30,0.0
2021-01-31,76.0
2021-02-01,81.0
2021-02-02,86.0
2021-02-03,47.0
2021-02-04,75.0
2021-02-05,42.0
2021-02-06,46.0
2021-02-07,65.0
2021-02-08,67.0
2021-02-09,43.0
2021-02-10,76.0
2021-02-11,57.0
2021-02-12,47.0
2021-02-13,54.0
2021-02-14,0.0
2021-02-15,42.0
2021-02-16,69.0
2021-02-17,83.0
2021-02-18,74.0
2021-02-19,76.0
2021-02-20,0.0
2021-02-21,62.0
2021-02-22,58.0
2021-02-23,69.0
2021-02-24,92.0
2021-02-25,97.0
2021-02-26,64.0
2021-02-27,0.0
2021-02-28,100.0
2021-03-01,51.0
2021-03-02,71.0
2021-03-03,68.0
2021-03-04,79.0
2021-03-05,60.0
2021-03-06,49.0
2021-03-07,85.0
2021-03-08,83.0
2021-03-09,58.0
2021-03-10,86.0
2021-03-11,73.0
2021-03-12,61.0
2021-03-13,0.0
2021-03-14,86.0
2021-03-15,88.0
2021-03-16,68.0
